iter	Passed	Remaining
0	1617	1615769
1	1620	808452
2	1621	538839
3	1622	403983
4	1626	323727
5	1628	269723
6	1629	231089
7	1630	202131
8	1631	179665
9	1632	161626
10	1633	146855
11	1634	134538
12	1634	124115
13	1637	115336
14	1639	107660
15	1641	100937
16	1642	94983
17	1644	89714
18	1645	84975
19	1646	80690
20	1647	76816
21	1648	73293
22	1649	70082
23	1651	67143
24	1651	64425
25	1652	61916
26	1653	59597
27	1654	57445
28	1655	55434
29	1656	53556
30	1658	51838
31	1659	50195
32	1660	48650
33	1661	47194
34	1662	45828
35	1663	44535
36	1664	43314
37	1665	42151
38	1665	41046
39	1666	39996
40	1667	38997
41	1669	38086
42	1670	37184
43	1672	36331
44	1674	35543
45	1675	34758
46	1677	34006
47	1678	33285
48	1679	32593
49	1680	31927
50	1681	31286
51	1682	30666
52	1682	30067
53	1683	29493
54	1684	28938
55	1684	28403
56	1685	27887
57	1686	27388
58	1687	26906
59	1687	26440
60	1688	25993
61	1689	25562
62	1690	25141
63	1691	24732
64	1691	24335
65	1692	23949
66	1693	23576
67	1693	23213
68	1694	22860
69	1694	22518
70	1695	22185
71	1696	21862
72	1696	21548
73	1697	21242
74	1698	20944
75	1698	20654
76	1699	20371
77	1700	20096
78	1700	19827
79	1701	19566
80	1702	19310
81	1702	19061
82	1703	18816
83	1704	18584
84	1705	18354
85	1705	18128
86	1706	17906
87	1707	17690
88	1707	17479
89	1708	17272
90	1708	17070
91	1709	16872
92	1710	16679
93	1710	16489
94	1711	16304
95	1712	16123
96	1712	15945
97	1713	15771
98	1714	15600
99	1714	15432
100	1715	15268
101	1716	15107
102	1716	14950
103	1717	14795
104	1718	14646
105	1719	14498
106	1719	14353
107	1720	14210
108	1721	14070
109	1721	13931
110	1722	13797
111	1723	13666
112	1724	13539
113	1725	13411
114	1726	13284
115	1726	13160
116	1727	13037
117	1728	12916
118	1728	12798
119	1729	12682
120	1730	12568
121	1730	12454
122	1731	12344
123	1731	12235
124	1733	12131
125	1733	12027
126	1734	11922
127	1735	11820
128	1735	11720
129	1736	11621
130	1737	11523
131	1737	11427
132	1738	11332
133	1739	11239
134	1739	11147
135	1740	11056
136	1741	10967
137	1741	10879
138	1742	10792
139	1743	10707
140	1743	10622
141	1744	10538
142	1744	10456
143	1745	10375
144	1746	10295
145	1746	10217
146	1747	10142
147	1748	10066
148	1749	9990
149	1749	9916
150	1750	9842
151	1751	9770
152	1751	9698
153	1752	9627
154	1753	9557
155	1753	9489
156	1754	9421
157	1755	9354
158	1756	9288
159	1756	9223
160	1757	9157
161	1757	9093
162	1758	9030
163	1759	8968
164	1760	8907
165	1760	8846
166	1762	8789
167	1763	8731
168	1763	8673
169	1764	8615
170	1765	8558
171	1766	8501
172	1767	8448
173	1768	8393
174	1768	8338
175	1769	8284
176	1770	8230
177	1770	8177
178	1771	8125
179	1772	8073
180	1772	8021
181	1773	7970
182	1774	7920
183	1774	7870
184	1775	7821
185	1776	7774
186	1777	7726
187	1777	7679
188	1778	7631
189	1779	7585
190	1780	7539
191	1781	7495
192	1782	7451
193	1782	7407
194	1783	7364
195	1785	7322
196	1785	7279
197	1786	7236
198	1787	7193
199	1787	7151
200	1788	7109
201	1789	7069
202	1791	7031
203	1791	6992
204	1792	6952
205	1793	6912
206	1794	6874
207	1795	6835
208	1796	6797
209	1796	6759
210	1797	6721
211	1798	6684
212	1798	6646
213	1799	6609
214	1800	6573
215	1801	6536
