iter	Passed	Remaining
0	1	99
1	1	90
2	2	82
3	3	77
4	4	78
5	4	77
6	5	75
7	6	73
8	7	71
9	7	70
10	8	68
11	9	66
12	9	65
13	10	64
14	11	62
15	11	61
16	12	60
17	13	59
18	13	58
19	14	57
20	14	56
21	15	55
22	16	54
23	16	53
24	17	52
25	18	51
26	18	50
27	19	49
28	20	49
29	20	48
30	21	47
31	22	46
32	22	46
33	23	45
34	24	44
35	24	43
36	25	43
37	26	42
38	26	41
39	27	40
40	27	40
41	28	38
42	28	38
43	29	37
44	30	36
45	30	36
46	31	35
47	32	34
48	32	34
49	33	33
50	34	32
51	34	31
52	35	31
53	35	30
54	36	29
55	37	29
56	37	28
57	38	27
58	39	27
59	39	26
60	40	26
61	41	25
62	42	24
63	43	24
64	43	23
65	44	22
66	45	22
67	45	21
68	46	20
69	47	20
70	47	19
71	48	18
72	49	18
73	49	17
74	50	16
75	51	16
76	51	15
77	52	14
78	53	14
79	53	13
80	54	12
81	54	12
82	55	11
83	56	10
84	56	10
85	57	9
86	58	8
87	58	8
88	59	7
89	60	6
90	60	6
91	61	5
92	62	4
93	62	4
94	63	3
95	63	2
96	64	1
97	65	1
98	65	0
99	66	0
